name;description;detail;mentorUuid;thumbnailUrl
무스펙 비전공자도 마케터로 취업하기;국내 메이저 언론사에 6년 이상 근무하고 있는 비전공자 마케터입니다.;<div><img alt="상세이미지-0" src="https://d2v80xjmx68n4w.cloudfront.net/gigs/7kmNN1665467314.jpg?w=715" width="715" loading="lazy"><img alt="상세이미지-1" src="https://d2v80xjmx68n4w.cloudfront.net/gigs/BFXEf1665467315.jpg?w=715" width="715" loading="lazy"><img alt="상세이미지-2" src="https://d2v80xjmx68n4w.cloudfront.net/gigs/INQCE1665467316.jpg?w=715" width="715" loading="lazy"><img alt="상세이미지-3" src="https://d2v80xjmx68n4w.cloudfront.net/gigs/QtZe01665467317.jpg?w=715" width="715" loading="lazy"><img alt="상세이미지-4" src="https://d2v80xjmx68n4w.cloudfront.net/gigs/NF78Y1665467317.jpg?w=715" width="715" loading="lazy"></div>;ec306976-68ba-441f-9f6e-46e80416b500;https://d2v80xjmx68n4w.cloudfront.net/gigs/mAj4B1665406873.jpg
국어교육과 전공+현직 인사팀장 자기소개서 멘토링;현재 서울시교육청 소속 교육공무직원으로 초등학교에서 근무하고 있습니다. 저와 함께 근무했던 단기 계약직 선생님들을 자소서 첨삭과 면접 코칭으로 교육청 공채에 합격할 수 있도록 도와주었습니다.;<div class="css-0 e1y4fmav1"><img alt="상세이미지-0" src="https://d2v80xjmx68n4w.cloudfront.net/gigs/wFGYB1668833371.jpg?w=715" width="715" loading="lazy" class="css-4l2ynl e1y4fmav2"><img alt="상세이미지-1" src="https://d2v80xjmx68n4w.cloudfront.net/gigs/7z3db1669702006.png?w=715" width="715" loading="lazy" class="css-4l2ynl e1y4fmav2"></div>;e02eba8f-605d-4112-b8b6-9af962f14dd0;https://d2v80xjmx68n4w.cloudfront.net/gigs/BT4Qq1669701983.jpg
취업멘토가 직접 합격한 17개 자소서 기반 멘토링;혼자가 아닌 함께하는 취업!  자소설메이트 대표 정영진입니다. - 취업,자소서,면접전문 블로그 운영 / 95만 회원 공기업 취업 네이버 카페 취업멘토;<div><img alt="상세이미지-0" src="https://d2v80xjmx68n4w.cloudfront.net/gigs/jyRiz1652941309.JPG?w=715" width="715" loading="lazy"><img alt="상세이미지-1" src="https://d2v80xjmx68n4w.cloudfront.net/gigs/i6Q1b1652941309.JPG?w=715" width="715" loading="lazy"><img alt="상세이미지-2" src="https://d2v80xjmx68n4w.cloudfront.net/gigs/cUh9K1652941309.JPG?w=715" width="715" loading="lazy"><img alt="상세이미지-3" src="https://d2v80xjmx68n4w.cloudfront.net/gigs/lpaR41653018326.JPG?w=715" width="715" loading="lazy"><img alt="상세이미지-4" src="https://d2v80xjmx68n4w.cloudfront.net/gigs/ieTHP1653018328.JPG?w=715" width="715" loading="lazy"></div>;86d56195-d2fc-417b-b588-aaf9e8ccebf9;https://d2v80xjmx68n4w.cloudfront.net/gigs/4tmSa1652939960.jpg
40대 무경력 주부가 교육공무직 합격한 비결;안녕하세요! 저는 학교에서 교무행정사로 일하고 있는 40대 워킹맘입니다. 좋은 학벌과 경력이 없는데도 불구하고 경쟁률이 세다는 교무행정사를 합격하여 다니고 있습니다. 저처럼 무경력자인 주부들도 노력만 한다면 충분히 도전해 볼만한 직업이라 생각하여 취업에 도움이 되고자 자소서 작성법과 면접 비결 등을 알려드리는 전자책을 발행하려고 합니다^^;<div><img alt="상세이미지-0" src="https://d2v80xjmx68n4w.cloudfront.net/gigs/zmr5I1667880217.png?w=715" width="715" loading="lazy"><img alt="상세이미지-1" src="https://d2v80xjmx68n4w.cloudfront.net/gigs/gveDQ1667880222.png?w=715" width="715" loading="lazy"><img alt="상세이미지-2" src="https://d2v80xjmx68n4w.cloudfront.net/gigs/ekRdh1667880290.png?w=715" width="715" loading="lazy"><img alt="상세이미지-3" src="https://d2v80xjmx68n4w.cloudfront.net/gigs/RBNJi1667880956.png?w=715" width="715" loading="lazy"><img alt="상세이미지-4" src="https://d2v80xjmx68n4w.cloudfront.net/gigs/FpR0E1667880965.png?w=715" width="715" loading="lazy"><img alt="상세이미지-5" src="https://d2v80xjmx68n4w.cloudfront.net/gigs/5LljI1667880981.png?w=715" width="715" loading="lazy"><img alt="상세이미지-6" src="https://d2v80xjmx68n4w.cloudfront.net/gigs/df7G41667880991.png?w=715" width="715" loading="lazy"><img alt="상세이미지-7" src="https://d2v80xjmx68n4w.cloudfront.net/gigs/5CXD81667881031.png?w=715" width="715" loading="lazy"><img alt="상세이미지-8" src="https://d2v80xjmx68n4w.cloudfront.net/gigs/Djdir1667881203.png?w=715" width="715" loading="lazy"></div>;f082f6c1-4909-4ac7-a688-d01a1338b981;https://d2v80xjmx68n4w.cloudfront.net/gigs/LPhYq1667874173.jpg
어뎁터스 11년 첨삭 전문가, 자기소개서 첨삭 해드립니다.;IT / 헤드헌팅 / 교육 / 광고대행사 / 중견기업 _CHO 및 인사채용 경험을 보유하고 있습니다.;<div class="css-0 e1y4fmav1"><img alt="상세이미지-0" src="https://d2v80xjmx68n4w.cloudfront.net/gigs/ezWpl1645355061.jpg?w=715" width="715" loading="lazy" class="css-4l2ynl e1y4fmav2"><img alt="상세이미지-1" src="https://d2v80xjmx68n4w.cloudfront.net/gigs/KwSdv1645355064.jpg?w=715" width="715" loading="lazy" class="css-4l2ynl e1y4fmav2"></div>;f082f6c1-4909-4ac7-a688-d01a1338b981;https://d2v80xjmx68n4w.cloudfront.net/gigs/Z8nw91585633904.jpg
대기업 인사 담당자가 제공하는 자기소개서 자소서 멘토링;대한민국 No.1 취업 컨설턴트 이솝입니다.;<div class="css-0 e1y4fmav1"><img alt="상세이미지-0" src="https://d2v80xjmx68n4w.cloudfront.net/gigs/nL2wo1724636249.png?w=715" width="715" loading="lazy" class="css-4l2ynl e1y4fmav2"><img alt="상세이미지-1" src="https://d2v80xjmx68n4w.cloudfront.net/gigs/Cwu3r1731578512.png?w=715" width="715" loading="lazy" class="css-4l2ynl e1y4fmav2"><img alt="상세이미지-2" src="https://d2v80xjmx68n4w.cloudfront.net/gigs/cF0IV1731578513.png?w=715" width="715" loading="lazy" class="css-4l2ynl e1y4fmav2"><img alt="상세이미지-3" src="https://d2v80xjmx68n4w.cloudfront.net/gigs/CAQPM1731578513.png?w=715" width="715" loading="lazy" class="css-4l2ynl e1y4fmav2"><img alt="상세이미지-4" src="https://d2v80xjmx68n4w.cloudfront.net/gigs/ANfUZ1731578513.png?w=715" width="715" loading="lazy" class="css-4l2ynl e1y4fmav2"><img alt="상세이미지-5" src="https://d2v80xjmx68n4w.cloudfront.net/gigs/zrpAC1731578514.png?w=715" width="715" loading="lazy" class="css-4l2ynl e1y4fmav2"></div>;f082f6c1-4909-4ac7-a688-d01a1338b981;https://d2v80xjmx68n4w.cloudfront.net/gigs/bAuso1730266098.jpg
디자인 직무 대기업 합격 자기소개서 8종 모음;타 직무 대비 자료 및 정보를 찾기 어려운 '디자인' 직무 합격 자기소개서 공유를 통해 서류 합격의 길로 안내해드립니다!;<div class="css-0 e1y4fmav1"><img alt="상세이미지-0" src="https://d2v80xjmx68n4w.cloudfront.net/gigs/ZRMmD1724678762.jpg?w=715" width="715" loading="lazy" class="css-4l2ynl e1y4fmav2"><img alt="상세이미지-1" src="https://d2v80xjmx68n4w.cloudfront.net/gigs/RRvmx1724678800.jpg?w=715" width="715" loading="lazy" class="css-4l2ynl e1y4fmav2"><img alt="상세이미지-2" src="https://d2v80xjmx68n4w.cloudfront.net/gigs/aB49q1724678803.jpg?w=715" width="715" loading="lazy" class="css-4l2ynl e1y4fmav2"></div>;a0a5ef1b-a6fc-4ed7-b861-036d7b8667f8;https://d2v80xjmx68n4w.cloudfront.net/gigs/RUucD1724678660.jpg
한섬 패션전문직 VMD 디자인 전문 자소서 멘토링;상업적인 공간의 VMD를  연출하는 방법부터 기본 실무이론 개념부터 컨설팅까지 진행하는 라임디자인입니다.;<div class="css-0 e1y4fmav1"><img alt="상세이미지-0" src="https://d2v80xjmx68n4w.cloudfront.net/gigs/M2qgA1720060524.jpg?w=715" width="715" loading="lazy" class="css-4l2ynl e1y4fmav2"><img alt="상세이미지-1" src="https://d2v80xjmx68n4w.cloudfront.net/gigs/eCt4Z1720060747.webp?w=715" width="715" loading="lazy" class="css-4l2ynl e1y4fmav2"></div>;a0a5ef1b-a6fc-4ed7-b861-036d7b8667f8;https://d2v80xjmx68n4w.cloudfront.net/gigs/uE1Nb1720060510.jpg
패션디자이너 자소서 전문과 합격 노하우 공유 드립니다;안녕하세요. 패션디자이너로 활동 중인 오예입니다. 포토샵, 일러스트레이터,3D 그래픽툴 을활용하여  다양한 작업을 하고 있으며 중견기업 홈쇼핑 브랜드와 디자이너브랜드에서 패션디자이너로근무하였습니다.;<div><img alt="상세이미지-0" src="https://d2v80xjmx68n4w.cloudfront.net/gigs/6bBYu1669735080.png?w=715" width="715" loading="lazy"><img alt="상세이미지-1" src="https://d2v80xjmx68n4w.cloudfront.net/gigs/JRxLV1669735376.png?w=715" width="715" loading="lazy"><img alt="상세이미지-2" src="https://d2v80xjmx68n4w.cloudfront.net/gigs/Hi5K41669735381.png?w=715" width="715" loading="lazy"><img alt="상세이미지-3" src="https://d2v80xjmx68n4w.cloudfront.net/gigs/7BlDU1669735390.png?w=715" width="715" loading="lazy"><img alt="상세이미지-4" src="https://d2v80xjmx68n4w.cloudfront.net/gigs/5r79L1669735396.png?w=715" width="715" loading="lazy"><img alt="상세이미지-5" src="https://d2v80xjmx68n4w.cloudfront.net/gigs/y4OJV1669735479.jpg?w=715" width="715" loading="lazy"></div>;a0a5ef1b-a6fc-4ed7-b861-036d7b8667f8;https://d2v80xjmx68n4w.cloudfront.net/gigs/16Iza1669480713.jpg
미대, 예술계, 디자인 전공 유학생 취업 멘토링;안녕하세요. 저희는 회사소개 및 사업 관련 문서 작업 전문가입니다.;<div class="css-0 e1y4fmav1"><img alt="상세이미지-0" src="https://d2v80xjmx68n4w.cloudfront.net/gigs/UhwsD1601825222.jpg?w=715" width="715" loading="lazy" class="css-4l2ynl e1y4fmav2"></div>;a0a5ef1b-a6fc-4ed7-b861-036d7b8667f8;https://d2v80xjmx68n4w.cloudfront.net/gigs/z6VRY1601823363.jpg
